Land Use,Region,Subzone,Planning Area,Geometry-Land Use,Geometry-Region,Geometry-Subzone,Geometry-Planning Area
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,WENYA,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 1,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,WENYA,JURONG WEST,MultiPolygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,WENYA,JURONG WEST,MultiPolygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 1,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,MultiPolygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,WENYA,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,WENYA,JURONG WEST,MultiPolygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,WENYA,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
WATERBODY,WEST REGION,WENYA,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,KIAN TECK,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
WATERBODY,WEST REGION,WENYA,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
WATERBODY,WEST REGION,WENYA,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,EAST REGION,TAMPINES WEST,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,WENYA,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,WENYA,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,NORTH-EAST REGION,TAI SENG,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
